"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","gene_name","uniprot","gene_id","entrez_id","prot_id"
16.6204625908929,16.8514276411205,0.844086700652756,1.03395249184057,63,29,"IGKV1D-8","","ENSG00000281078",NA,"ENSP00000485892"
14.4933774054763,14.6226323110553,2.84591543421731,2.76933449917128,71,31,"IGKV3-7","A0A075B6H7","ENSG00000282310",NA,"ENSP00000487957"
18.467618176432,18.6186327797004,0.872434659218259,0.792072461486313,71,31,"IGLV2-14","P01704","ENSG00000211666",NA,"ENSP00000374847"
25.8179848534917,26.0951716913678,0.607754296986958,0.385000456739309,71,31,"APOA1","P02647","ENSG00000118137",335,"ENSP00000364469"
17.631118215695,17.8665160261884,0.72696236924299,0.545204622056556,71,31,"APOA2","P02652","ENSG00000158874",336,"ENSP00000356969"
19.9055715825664,19.1930554432562,1.0397663055885,0.896381798810376,71,31,"IGHV3-64","A0A075B6Q5","ENSG00000274236",NA,"ENSP00000488676"
23.6220723822265,23.6550056201582,0.554181432300513,0.387965122260478,71,31,"SERPINC1","P01008","ENSG00000117601",462,"ENSP00000356671"
22.3030255703377,22.285593670187,0.638059204364759,0.649005707025672,71,31,"LRG1","P02750","ENSG00000171236",116844,"ENSP00000302621"
17.9058153624001,17.9271996430017,0.835376745336506,1.05219058147303,71,31,"PARN","O95453","ENSG00000274829",5073,"ENSP00000478668"
17.1605741643967,16.7121444761253,1.24910464501943,1.06045522341011,71,31,"IGLV3-10","A0A075B6K4","ENSG00000211669",NA,"ENSP00000374850"
16.8874562707316,16.9202477865001,1.06131142366809,0.973823663612231,71,31,"IGKV6-21","A0A0C4DH24","ENSG00000282210",NA,"ENSP00000488349"
17.7230356606242,17.1570586086246,0.892797122531734,0.970516413479979,71,31,"IGHV3-13","P01766","ENSG00000282286",NA,"ENSP00000488851"
14.8215592262516,14.8773866505196,1.22330800818783,1.3027938618348,71,31,"IGLV5-45","","ENSG00000281145",NA,"ENSP00000487513"
17.4879472906541,17.2789139275114,0.947188941230443,1.20782666044192,71,31,"PIGR","P01833","ENSG00000162896",5284,"ENSP00000348888"
21.1288161583585,21.1339922406748,0.545296365235862,0.329844308928693,71,31,"C8A","P07357","ENSG00000157131",731,"ENSP00000354458"
16.9806868189851,16.9793229358764,1.86656499350062,1.26290139502215,71,31,"IGHV1-2","P23083","ENSG00000282550",NA,"ENSP00000488290"
17.8007830418614,17.9378665394223,1.46110060418954,1.79501175174963,71,31,"IGHV3-48","P01763","ENSG00000282627",NA,"ENSP00000487990"
19.0117801515636,19.0610698673825,0.739030855045564,0.723202285019189,71,31,"IGHV3-49","A0A0A0MS15","ENSG00000275316",NA,"ENSP00000488069"
14.8195702123749,15.5487917730662,1.96657898815696,2.34122813026184,71,31,"IGFBP3","","ENSG00000146674",3486,"ENSP00000477772"
17.7125773711397,17.5322662499051,1.66592111935034,1.27943836107447,71,31,"KRT9","P35527","ENSG00000171403",3857,"ENSP00000246662"
27.189814838861,27.1148070592085,0.324490742356087,0.35612656644339,71,31,"IGHG1","","ENSG00000277633",NA,"ENSP00000487867"
11.9949843349351,12.313163237478,1.30797337787613,1.46489261509784,71,31,"SELP","","ENSG00000174175",6403,"ENSP00000391694"
17.8779121438925,17.3655479296476,1.36138999397807,1.40704735730005,71,31,"IGHV3-21","A0A0B4J1V1","ENSG00000282281",NA,"ENSP00000487805"
19.8905223650867,19.7731495624189,1.05001237289565,1.37139703184979,71,31,"IGKV1-12","A0A0C4DH73","ENSG00000282694",NA,"ENSP00000488148"
16.2405697081377,16.4115775512297,1.43497091113219,1.60290308797257,71,31,"IGLV2-18","A0A075B6J9","ENSG00000211664",NA,"ENSP00000374845"
22.8161496546839,22.9848604304065,0.502276453003812,0.375745261061696,71,31,"CFH","P08603","ENSG00000000971",3075,"ENSP00000356399"
15.4065590260913,15.5057165804929,0.544018258494718,0.829782014258262,69,30,"GP1BA","P07359","ENSG00000185245",2811,"ENSP00000329380"
18.1734379847755,16.4895772345702,1.71654479491514,1.55406268544824,71,31,"IGLV3-1","P01715","ENSG00000211673",NA,"ENSP00000374854"
18.1767171904862,18.6447634539217,0.781032417818646,0.473532121208177,71,31,"PLTP","P55058","ENSG00000100979",5360,"ENSP00000335290"
13.0517310726912,12.5475639034896,1.22555846566893,1.35573656963209,71,31,"PSMA5","P28066","ENSG00000143106",5686,"ENSP00000271308"
16.2839506476893,16.0713856794466,0.604532094914949,0.745750919549606,71,31,"MAN1A1","P33908","ENSG00000111885",4121,"ENSP00000357453"
20.2315144573528,20.4267244401765,0.607652592167563,0.441733444882504,71,31,"SERPINA6","","ENSG00000277405",866,"ENSP00000486588"
12.3706207843833,11.9830882003573,2.97025776772111,2.90164860151383,71,31,"GPI","","ENSG00000282019",2821,"ENSP00000488871"
15.8070540903784,15.9763432169548,0.669582425814903,0.630888856262628,71,31,"F7","P08709","ENSG00000057593",2155,"ENSP00000329546"
18.8265760195148,19.0437553854255,0.442369029593498,0.401668701030997,71,31,"SERPINF1","","ENSG00000282307",5176,"ENSP00000488386"
15.5844257304008,15.6926091056089,1.21670259489856,1.1666779636914,71,31,"TAGLN2","P37802","ENSG00000158710",8407,"ENSP00000357076"
15.7407354197022,14.4877437096068,1.58325039343412,1.19559316369247,71,31,"IGHV3-33","P0DP02","ENSG00000282642",NA,"ENSP00000487655"
17.1612829435115,16.1319975346264,1.86734377238681,1.43508548327421,67,29,"IGHV3-7","P01780","ENSG00000282211",NA,"ENSP00000487659"
17.3090102456754,16.5836699012807,1.17569351407715,1.09328497698131,71,31,"IGLV3-27","P01718","ENSG00000211658",NA,"ENSP00000374839"
16.7552529393049,17.2823846497428,0.814714232472734,0.912532164901359,71,31,"CAMP","","ENSG00000164047",820,"ENSP00000296435"
18.4967135938121,18.1085218246544,0.777960825153602,0.924371583323755,71,31,"GPX3","P22352","ENSG00000211445",2878,"ENSP00000373477"
14.9376634155393,14.8102656896682,1.52197617238366,1.68514299725093,71,31,"ACTR3","P61158","ENSG00000115091",10096,"ENSP00000263238"
19.4398044910852,19.5316676335841,0.752109742460503,0.652389641152243,71,31,"IGFALS","P35858","ENSG00000099769",3483,"ENSP00000215539"
10.449571170527,10.2431068873469,2.40705849265307,2.94560120070698,71,31,"IGLC6",NA,NA,NA,NA
22.636049219233,22.6476874820572,0.452827083935936,0.339708720333192,70,31,"A1BG","P04217","ENSG00000121410",1,"ENSP00000263100"
13.1854012638135,12.7042846457786,1.57066050531057,1.21649124309208,71,31,"LILRA3","Q8N6C8","ENSG00000273884",11026,"ENSP00000482971"
16.1852192100737,15.7526592493462,1.20247124670046,1.86147559632214,71,31,"PRDX6","P30041","ENSG00000117592",9588,"ENSP00000342026"
17.4292971461305,16.7773431254543,1.35337690021693,1.3365151929446,71,31,"IGLV1-51","P01701","ENSG00000211644",NA,"ENSP00000374825"
13.4512904181352,13.3584299650505,0.944658373615193,0.863157883118154,71,31,"FCGR3B","","ENSG00000162747",2215,"ENSP00000497461"
13.6544598429462,12.7778137927673,2.19105407282553,1.65377878951793,71,31,"IGLV4-60","A0A075B6I1","ENSG00000211639",NA,"ENSP00000374819"
19.4442425498954,19.4154254036386,0.51708224522639,0.480649307971536,71,31,"CPN1","P15169","ENSG00000120054",1369,"ENSP00000359446"
13.4602476755446,13.4549345403171,1.31416226198086,1.23607399863728,71,31,"LIMS1","P48059","ENSG00000169756",3987,"ENSP00000437912"
18.3942054489096,18.8391485456422,1.80150668926294,1.40962303000113,71,31,"TLN1","Q9Y490","ENSG00000137076",7094,"ENSP00000316029"
15.9348791032316,16.2236057105809,1.64079030545762,1.61777207374616,71,31,"TUBB1","Q9H4B7","ENSG00000101162",81027,"ENSP00000217133"
13.8914625895579,14.4923697000783,4.11466072907744,3.53034087429681,71,31,"IGHV4-4","A0A075B6R2","ENSG00000282223",NA,"ENSP00000487977"
14.2941977767451,14.2901932689869,1.00134940599105,0.89217074065877,71,31,"CAVIN2","O95810","ENSG00000168497",8436,"ENSP00000305675"
15.1538298405518,14.9299693482891,2.0243081764088,2.19955249479099,71,31,"CAT","P04040","ENSG00000121691",847,"ENSP00000241052"
12.2556880506823,12.7940609441643,0.953110050413826,1.13010798030649,71,31,"FOXN4","Q96NZ1","ENSG00000139445",121643,"ENSP00000299162"
16.0722547651645,15.9554232965904,1.97400597416922,1.51203404655285,71,31,"IGHV4-30-2",NA,NA,NA,NA
18.9482046000948,19.2595801233782,0.594182631074241,0.560614509215204,71,31,"CST3","P01034","ENSG00000101439",1471,"ENSP00000381448"
18.2570306693804,17.6391854560969,0.905172232415814,0.999014529927305,63,23,"IGLV3-21","P80748","ENSG00000211662",NA,"ENSP00000374843"
14.4570079572326,14.7210584110644,1.65164768737526,1.30466721843293,71,31,"IGHV6-1","A0A0B4J1U7","ENSG00000282745",NA,"ENSP00000488134"
21.3566166522776,21.7761438340744,0.657262444695139,0.503729445619173,71,31,"AFM","P43652","ENSG00000079557",173,"ENSP00000226355"
15.3683174220757,16.6261424238506,1.75417817247064,1.08953642325293,71,31,"CETP","P11597","ENSG00000087237",1071,"ENSP00000369106"
14.8659037124681,15.192961349662,1.57110093310687,1.86938666404452,71,31,"CFHR2","P36980","ENSG00000080910",3080,"ENSP00000356385"
16.5263572110526,16.7121501126557,1.69674466928041,2.03741743171863,71,31,"S100A8","P05109","ENSG00000143546",6279,"ENSP00000357721"
22.2327437153086,22.4690453382391,0.525052249226257,0.328260077389833,71,31,"C1R","","ENSG00000288512",715,"ENSP00000500036"
13.8520078556584,14.0631946371501,1.1843188121888,1.09884291413431,71,31,"INHBC","P55103","ENSG00000175189",3626,"ENSP00000308716"
21.0618108431529,21.0555583666886,0.830217369294677,0.675743898364428,71,30,"C4A","P0C0L4","ENSG00000227746",110384692,"ENSP00000388662"
20.3273735515156,20.2834354022363,0.593830420158178,0.798095078789122,71,31,"IGHV3-74","A0A0B4J1X5","ENSG00000282305",NA,"ENSP00000488600"
13.9560693425152,15.2076595185657,1.87520654643436,1.19881577933605,71,31,"PI16","Q6UXB8","ENSG00000164530",221476,"ENSP00000497550"
24.3332445464466,24.3246601959424,0.465729036722553,0.373002603072773,71,31,"CP","","ENSG00000047457",1356,"ENSP00000418773"
12.8500035620595,12.4502704067842,2.07008754609111,1.73370990909151,71,31,"DBH","P09172","ENSG00000123454",1621,"ENSP00000376776"
20.8072414218414,20.5011680993604,1.04531073945032,0.92322628463705,71,31,"LBP","P18428","ENSG00000129988",3929,"ENSP00000217407"
18.9590765976942,18.1733912203957,1.02111018426645,1.80341436036755,64,24,"IGHV4-39","P01824","ENSG00000282579",NA,"ENSP00000488798"
23.7126411226156,23.7799941960375,0.99047091889421,1.1383935335259,71,31,"HBA1","P69905","ENSG00000206172",3039,"ENSP00000322421"
19.4160350470324,19.9967167177219,0.777571681421845,0.559256791721774,71,31,"SERPINA4","P29622","ENSG00000100665",5267,"ENSP00000450838"
22.8595811328065,22.6784498646321,0.682014710773046,0.567942520956001,71,31,"ORM2","P19652","ENSG00000228278",5005,"ENSP00000394936"
14.6827024226176,14.7852357620405,1.41994043961336,1.37741348334383,71,31,"ZYX","","ENSG00000285443",7791,"ENSP00000494648"
18.400654425465,19.087742724423,0.798692085443959,0.773201230699432,71,31,"LUM","P51884","ENSG00000139329",4060,"ENSP00000266718"
19.1199257299682,19.4293632570379,0.949999349840176,0.979747885740451,71,31,"IGHV5-51","A0A0C4DH38","ENSG00000277574",NA,"ENSP00000483207"
13.8088038944102,13.5988056642277,1.22219013197639,1.11682476931726,71,31,"PDIA3","","ENSG00000167004",2923,"ENSP00000510198"
21.0867738245091,21.7282592249959,0.83859217383322,0.776866851507071,71,31,"APOA4","P06727","ENSG00000110244",337,"ENSP00000350425"
17.1977959945745,16.9865881880705,0.961934789002126,1.02093927147572,71,31,"IGLV4-69","A0A075B6H9","ENSG00000211637",NA,"ENSP00000374817"
12.7778824925941,14.1268551655807,2.15108565958853,2.35120967151702,71,31,"TNXB","","ENSG00000229341",7148,"ENSP00000389677"
15.8542938960631,16.1213773757595,0.539437447192594,0.564055166380429,71,31,"VASN","Q6EMK4","ENSG00000274334",114990,"ENSP00000481884"
15.0049521887697,15.2293220868967,1.04828960291156,1.0234282781604,71,31,"IGLV8-61","A0A075B6I0","ENSG00000211638",NA,"ENSP00000374818"
15.4799776666636,15.3164208135973,1.1769203211819,0.991292670719058,71,31,"IGLV3-22","A0A075B6J6","ENSG00000211661",NA,"ENSP00000374842"
23.6005354376199,23.508862867774,1.11750832849782,0.978929656366932,69,30,"IGHG4","P01861","ENSG00000277016",NA,"ENSP00000483393"
15.7105801083973,15.9385915701968,1.56255700947912,1.78520529212287,71,31,"SLC4A1","","ENSG00000004939",6521,"ENSP00000382190"
17.9538480922485,18.6581119810402,2.26797674316184,1.74734951979481,71,31,"MYH9","P35579","ENSG00000100345",4627,"ENSP00000216181"
13.5578722279224,11.1176098631718,4.52933406860811,4.53436953435347,71,31,"IGHV4-38-2",NA,NA,NA,NA
13.5094744021262,13.941206160197,0.829065165825286,0.944158548858691,71,31,"MMP2","P08253","ENSG00000087245",4313,"ENSP00000461421"
16.1200681840998,16.2876485465654,1.60707104771612,1.72202781074672,71,31,"PIKFYVE","Q9Y2I7","ENSG00000115020",200576,"ENSP00000376038"
13.8295593982535,14.1644087736163,1.00852537825002,1.1543945561514,71,31,"BST1","Q10588","ENSG00000109743",683,"ENSP00000265016"
15.6624933364337,16.1561949092501,1.31402328335585,1.43027211534325,71,31,"RAP1B","P61224","ENSG00000127314",5908,"ENSP00000250559"
19.5052036428454,19.4766912729706,0.671269212988345,0.546096643888868,71,31,"C1RL","","ENSG00000288124",51279,"ENSP00000499811"
13.35091280527,13.6906528788723,1.72092737721383,1.75772337857706,71,31,"CAP1","Q01518","ENSG00000131236",10487,"ENSP00000361883"
17.3082244467734,16.768898899445,1.22193282258549,1.29929670443372,71,31,"IGHV1-69D","A0A0B4J2H0","ENSG00000282399",NA,"ENSP00000488097"
24.3604458857287,24.6032320555356,0.661390913490123,0.65944816774405,71,31,"IGHM","P01871","ENSG00000282657",NA,"ENSP00000485962"
20.8248336838801,21.100534345238,0.669733002821636,0.894349384543451,71,31,"C1QC","P02747","ENSG00000159189",714,"ENSP00000363771"
14.4096214046277,15.3981849258318,2.22994384286106,1.93888499828337,71,31,"RNASE1","P07998","ENSG00000129538",6035,"ENSP00000381057"
17.4841912347994,17.5830845602013,1.23238564652586,0.988401535022495,71,31,"APOC4","P55056","ENSG00000267467",346,"ENSP00000468236"
18.6242674793026,18.7119682841919,0.645668525928684,0.526263765603017,71,31,"BCHE","P06276","ENSG00000114200",590,"ENSP00000264381"
15.7749278567601,15.6699875593488,2.32064880271023,2.10111483342333,71,31,"MASP2","O00187","ENSG00000009724",10747,"ENSP00000383690"
20.1145439600851,20.4430314895269,1.07613959770516,0.969957837011959,71,31,"IGHA2","","ENSG00000276173",NA,"ENSP00000478870"
12.6423451361107,13.03384898259,1.995952378449,2.01097918440834,71,31,"HSPG2","P98160","ENSG00000142798",3339,"ENSP00000363827"
17.5203158290771,17.6880347195692,1.03501669171347,1.03067317988693,71,31,"ACTG1","","ENSG00000184009",71,"ENSP00000505060"
23.7071334580945,23.3325734281395,0.641831682649885,0.618173191170728,71,31,"ORM1","P02763","ENSG00000229314",5004,"ENSP00000259396"
15.1685441488829,15.7589413909535,2.5344231440811,2.35681713534443,71,31,"PLEK","P08567","ENSG00000115956",5341,"ENSP00000234313"
17.9454071230698,17.8868990182314,0.848333377485147,0.733042954105354,68,31,"IGLV3-9","A0A075B6K5","ENSG00000211670",NA,"ENSP00000374851"
15.3981945651871,15.4884944652669,0.92226412006689,1.00470634606054,71,31,"MINPP1","Q9UNW1","ENSG00000107789",9562,"ENSP00000361064"
13.7912856747175,13.8427647181838,1.4899035175658,1.45040408872877,71,31,"ENPP2","Q13822","ENSG00000136960",5168,"ENSP00000259486"
23.1080129436525,23.2870484033726,0.531219962053996,0.380952659760362,71,31,"ANXA6","","ENSG00000197043",309,"ENSP00000431086"
22.3999450235877,22.8293374014895,0.6359971863877,0.458811440024462,71,31,"ITIH2","P19823","ENSG00000151655",3698,"ENSP00000351190"
14.4692307376007,14.4146742520243,2.86510348911313,2.87020640366243,71,31,"APOF","Q13790","ENSG00000175336",319,"ENSP00000381250"
23.6900234375421,23.8960795786501,0.804117481153891,0.739446316482425,71,31,"IGHG3","","ENSG00000282184",NA,"ENSP00000487823"
21.8265529827082,21.8239769949237,0.421491466191071,0.404692354313242,71,31,"IGKV2-28","A0A075B6P5","ENSG00000282025",NA,"ENSP00000487690"
21.9056184630744,22.565235345016,0.679940741937238,0.646646292032503,71,31,"HRG","P04196","ENSG00000113905",3273,"ENSP00000232003"
24.662031067004,24.6235970118623,0.485963952921142,0.331393747354187,70,31,"C3","P01024","ENSG00000125730",718,"ENSP00000245907"
23.5658684901399,24.0909346675955,0.76709442130367,0.514826902735082,71,31,"TTR","","ENSG00000118271",7276,"ENSP00000477599"
16.6292273782658,16.0391999779289,1.66497774603289,1.91194324195318,71,31,"MICU2","Q8IYU8","ENSG00000165487",221154,"ENSP00000371811"
15.2173321396354,15.1094193738362,1.40688930120008,1.51505910369948,71,31,"CALR","","ENSG00000179218",811,"ENSP00000465918"
20.9099108836157,20.6657033725179,0.579543442800281,0.555583424043738,71,31,"ITIH3","","ENSG00000162267",3699,"ENSP00000413922"
20.2207457779648,20.6117692761388,0.709470727723604,0.456319657540344,71,30,"KLKB1","","ENSG00000164344",3818,"ENSP00000426629"
14.4462945420148,14.6574936328334,0.760366934994266,0.817273985740874,71,31,"TPM3","P06753","ENSG00000143549",7170,"ENSP00000357521"
15.6593033421851,16.0687553019148,0.971893224183456,1.30040682012697,71,31,"PRSS1","","ENSG00000274247",5644,"ENSP00000487956"
21.0334107520237,21.4734011740225,1.09008548398835,0.807594256781165,71,31,"RBP4","P02753","ENSG00000138207",5950,"ENSP00000360522"
21.8255833883403,22.1870473572295,0.914217819589581,0.698576693939452,71,31,"APOC3","","ENSG00000110245",345,"ENSP00000410614"
21.9455870915549,20.7682843302215,2.532223896871,3.00237994645434,71,31,"SAA1","","ENSG00000288411",6288,"ENSP00000500630"
14.8875929621759,15.0115319618331,1.59719870268904,1.73688124413817,71,31,"SPARC","P09486","ENSG00000113140",6678,"ENSP00000231061"
26.7856182217738,26.8698289035087,0.440806840601056,0.367954133354798,71,31,"IGKC","","ENSG00000211592",NA,"ENSP00000374777"
20.6359434285855,20.5098060206087,0.668202848181341,0.996939147287842,71,31,"IGLL5","B9A064","ENSG00000254709",100423062,"ENSP00000431254"
